AllTrace,,,
EMI:FSCAN,,,
A.30.11,N9038B,,
301134409.6,31.7760007,31.7760007,39.97724124
301194408.4,31.79563113,31.79563113,39.50691196
301254407.1,31.82701846,31.82701846,39.2312543
301314405.9,31.76825687,31.76825687,39.35541507
301374404.7,31.59320804,31.59320804,39.13463565
301434403.4,32.33275577,32.33275577,39.54885074
301494402.2,32.2413251,32.2413251,39.32284518
301554400.9,32.25180789,32.25180789,39.33332797
301614399.7,32.06108829,32.06108829,40.21267673
301674398.5,31.74754306,31.74754306,39.93963596
301734397.2,31.62345096,31.62345096,39.79332706
301794396,31.79333469,31.79333469,39.39094516
301854394.8,31.66139957,31.66139957,39.57128116
301914393.5,31.69931766,31.69931766,39.22768375
301974392.3,32.80862399,32.80862399,39.26300021
302034391,32.24683353,32.24683353,39.73077365
302094389.8,32.92365237,32.92365237,39.8209531
302154388.6,32.96942111,32.96942111,39.47998019
302214387.3,33.20071384,33.20071384,39.28010532
302274386.1,32.77218601,32.77218601,39.75572177
302334384.9,32.95775577,32.95775577,39.72962161
302394383.6,32.29013797,32.29013797,39.53889438
302454382.4,31.7505643,31.7505643,40.3124158
302514381.1,32.10597965,32.10597965,39.72579929
302574379.9,32.73838016,32.73838016,40.1308591
302634378.7,32.69007083,32.69007083,39.44103214
302694377.4,31.99240085,31.99240085,39.49463626
302754376.2,32.40138217,32.40138217,39.84873935
302814375,32.47327396,32.47327396,39.28042575
302874373.7,32.52818271,32.52818271,39.2203519
302934372.5,32.39232608,32.39232608,39.52741977
302994371.3,32.17024966,32.17024966,40.55310031
303054370,31.71690341,31.71690341,40.47081729
303114368.8,32.55835696,32.55835696,39.55756351
303174367.5,33.06141635,33.06141635,40.42645999
303234366.3,33.33973666,33.33973666,40.23181125
303294365.1,32.45392581,32.45392581,39.5393674
303354363.8,32.86029788,32.86029788,39.68573734
303414362.6,32.98706027,32.98706027,39.35259219
303474361.4,32.92830631,32.92830631,39.81123325
303534360.1,32.18621036,32.18621036,39.40492221
303594358.9,33.50978061,33.50978061,39.5042493
303654357.6,33.53202792,33.53202792,39.60096713
303714356.4,33.50853702,33.50853702,39.4716489
303774355.2,33.09830447,33.09830447,39.09277316
303834353.9,33.5830762,33.5830762,39.33190891
303894352.7,32.29614993,32.29614993,39.115051
303954351.5,32.63326999,32.63326999,39.10462924
304014350.2,33.54528018,33.54528018,39.606384
304074349,33.02137729,33.02137729,39.60641452
304134347.7,32.64773532,32.64773532,39.57116672
304194346.5,33.3507001,33.3507001,40.13693973
304254345.3,32.15784427,32.15784427,39.27072116
304314344,32.70662662,32.70662662,39.37396976
304374342.8,32.85037967,32.85037967,39.44455692
304434341.6,32.68578311,32.68578311,40.35133334
304494340.3,32.9118497,32.9118497,40.27166721
304554339.1,32.48725101,32.48725101,39.94636508
304614337.8,33.48156711,33.48156711,39.47473117
304674336.6,33.66974612,33.66974612,39.59235355
304734335.4,33.08182498,33.08182498,39.54404422
304794334.1,33.45552799,33.45552799,39.42517825
304854332.9,33.47254916,33.47254916,39.70089694
304914331.7,33.31710025,33.31710025,40.25359317
304974330.4,34.00830051,34.00830051,40.29543277
305034329.2,33.68822452,33.68822452,39.96099063
305094328,33.15910312,33.15910312,39.89177676
305154326.7,33.29762241,33.29762241,39.9009473
305214325.5,33.36299106,33.36299106,38.97594425
305274324.2,32.21978732,32.21978732,40.43539401
305334323,32.97238895,32.97238895,39.74295017
305394321.8,33.40489169,33.40489169,39.74037143
305454320.5,33.41406986,33.41406986,39.9429166
305514319.3,32.76344272,32.76344272,40.03964206
305574318.1,32.82356998,32.82356998,40.31273624
305634316.8,33.50823184,33.50823184,40.31668826
305694315.6,33.52002689,33.52002689,39.2453458
305754314.3,34.00479099,34.00479099,40.00840732
305814313.1,33.85456058,33.85456058,40.41346713
305874311.9,32.87729617,32.87729617,39.37740299
305934310.6,33.04456302,33.04456302,39.79683658
305994309.4,33.55153629,33.55153629,39.44801303
306054308.2,33.55549594,33.55549594,40.10263797
306114306.9,33.30204746,33.30204746,40.08306094
306174305.7,32.68538638,32.68538638,39.87142917
306234304.4,32.83828708,32.83828708,39.63890048
306294303.2,34.00898715,34.00898715,39.75652286
306354302,34.13967105,34.13967105,39.81404086
306414300.7,33.64844486,33.64844486,39.61808749
306474299.5,33.49560519,33.49560519,39.71741458
306534298.3,33.17684909,33.17684909,39.99967166
306594297,32.93646976,32.93646976,40.27407047
306654295.8,32.86202213,32.86202213,39.85208865
306714294.6,33.20045444,33.20045444,40.1186597
306774293.3,33.57807895,33.57807895,39.86390659
306834292.1,33.48011752,33.48011752,39.83388492
306894290.8,34.09554263,34.09554263,39.85482761
306954289.6,34.18441745,34.18441745,39.90581485
307014288.4,33.13136264,33.13136264,39.73991367
307074287.1,33.0360181,33.0360181,39.3819501
307134285.9,33.90490695,33.90490695,39.37022373
307194284.7,33.20462009,33.20462009,39.23175784
307254283.4,33.50516483,33.50516483,39.6302869
307314282.2,32.9250867,32.9250867,41.04662296
307374280.9,33.7534711,33.7534711,40.7709653
307434279.7,33.11067935,33.11067935,40.18828555
307494278.5,32.96960422,32.96960422,39.48015567
307554277.2,33.48834201,33.48834201,39.55467197
307614276,33.28192874,33.28192874,39.66313907
307674274.8,33.39955112,33.39955112,39.37572452
307734273.5,33.37345859,33.37345859,39.67366
307794272.3,33.00242587,33.00242587,40.52164432
307854271,33.87522861,33.87522861,40.2512128
307914269.8,33.87787601,33.87787601,40.12712833
307974268.6,33.55388614,33.55388614,40.08403751
308034267.3,33.56958743,33.56958743,39.73913547
308094266.1,34.71547672,34.71547672,39.73525211
308154264.9,34.60314151,34.60314151,39.74573489
308214263.6,33.49259921,33.49259921,39.8920972
308274262.4,33.71736118,33.71736118,40.52842685
308334261.1,33.99176761,33.99176761,40.54674503
308394259.9,33.53972598,33.53972598,39.4192197
308454258.7,34.22701236,34.22701236,39.40880557
308514257.4,34.23226901,34.23226901,39.89617893
308574256.2,33.43530246,33.43530246,40.05953189
308634255,33.32950565,33.32950565,40.69454929
308694253.7,32.9532468,32.9532468,40.46592685
308754252.5,33.02906009,33.02906009,39.97077914
308814251.3,33.73593112,33.73593112,39.5095975
308874250,34.0194852,34.0194852,39.33977481
308934248.8,34.17108127,34.17108127,39.94605228
308994247.5,33.49039432,33.49039432,39.98657962
309054246.3,33.6511304,33.6511304,40.3472211
309114245.1,33.50483676,33.50483676,39.92262241
309174243.8,33.37420627,33.37420627,39.41832706
309234242.6,32.90518161,32.90518161,39.29161807
309294241.4,33.1691434,33.1691434,39.52683231
309354240.1,33.19660922,33.19660922,38.95851108
309414238.9,33.3808591,33.3808591,39.35834476
309474237.6,33.05295535,33.05295535,39.47727939
309534236.4,33.08303043,33.08303043,39.54655429
309594235.2,33.30779239,33.30779239,39.38588687
309654233.9,34.96976444,34.96976444,39.29706546
309714232.7,34.21068546,34.21068546,39.16513797
309774231.5,33.17200443,33.17200443,39.59241458
309834230.2,35.11488315,35.11488315,39.44087955
309894229,35.31742831,35.31742831,39.04894229
309954227.7,32.85852786,32.85852786,39.24626895
310014226.5,33.62942477,33.62942477,39.2476041
310074225.3,32.88471957,32.88471957,38.69365665
310134224,33.43350955,33.43350955,39.09741946
310194222.8,33.40740176,33.40740176,39.49202701
310254221.6,33.68965122,33.68965122,39.94150516
310314220.3,33.84385654,33.84385654,39.659332
310374219.1,33.38005801,33.38005801,39.50910159
310434217.9,33.42842838,33.42842838,40.00562259
310494216.6,33.90274783,33.90274783,39.85410281
310554215.4,33.88448306,33.88448306,40.22388431
310614214.1,33.7643201,33.7643201,40.01356479
310674212.9,33.47167941,33.47167941,40.05278751
310734211.7,33.46909305,33.46909305,39.73663303
310794210.4,33.12289401,33.12289401,40.20964023
310854209.2,32.92171451,32.92171451,39.97710391
310914208,32.9870679,32.9870679,39.94708225
310974206.7,33.7762601,33.7762601,39.97586032
311034205.5,33.78805515,33.78805515,40.03468295
311094204.2,33.4509885,33.4509885,39.24032565
311154203,34.52239963,34.52239963,39.84791538
311214201.8,34.0925748,34.0925748,39.88844272
311274200.5,33.61701175,33.61701175,39.2743909
311334199.3,33.65885898,33.65885898,39.31231662
311394198.1,33.54914066,33.54914066,39.60501834
311454196.8,33.8392255,33.8392255,40.12505313
311514195.6,33.7530286,33.7530286,39.86639377
311574194.3,33.75828525,33.75828525,40.10029575
311634193.1,33.2931821,33.2931821,40.31852695
311694191.9,33.18999454,33.18999454,39.44577762
311754190.6,33.08942386,33.08942386,39.3255994
311814189.4,33.40825626,33.40825626,40.24806186
311874188.2,33.33642551,33.33642551,39.21722385
311934186.9,32.76679202,32.76679202,39.53082248
311994185.7,33.27899905,33.27899905,39.83267185
312054184.4,33.36003848,33.36003848,39.4211423
312114183.2,32.48989841,32.48989841,39.51654788
312174182,33.03476688,33.03476688,39.75960513
312234180.7,33.13278934,33.13278934,39.68776675
312294179.5,33.51824924,33.51824924,39.07371494
312354178.3,33.54703494,33.54703494,39.3206937
312414177,33.23217746,33.23217746,38.98624393
312474175.8,33.31060001,33.31060001,39.31029483
312534174.6,33.38380405,33.38380405,39.38349887
312594173.3,33.59941837,33.59941837,38.9667432
312654172.1,34.22267886,34.22267886,39.239845
312714170.8,34.20049258,34.20049258,39.3051984
312774169.6,33.24021121,33.24021121,39.41367313
312834168.4,33.67794009,33.67794009,39.71813937
312894167.1,33.59565707,33.59565707,39.67374393
312954165.9,33.20894595,33.20894595,39.22562381
313014164.7,32.9934003,32.9934003,39.37461063
313074163.4,32.96598789,32.96598789,39.93384525
313134162.2,33.06140109,33.06140109,39.27928897
313194160.9,33.49128696,33.49128696,39.31721469
313254159.7,32.92035648,32.92035648,38.91874667
313314158.5,33.11898013,33.11898013,39.14350101
313374157.2,32.98574802,32.98574802,38.93187686
313434156,33.6286008,33.6286008,39.04165622
313494154.8,33.59204837,33.59204837,39.91838046
313554153.5,33.49932071,33.49932071,39.84002658
313614152.3,32.98717471,32.98717471,39.16587039
313674151,33.17274448,33.17274448,39.24560519
313734149.8,33.53599521,33.53599521,39.7969968
313794148.6,33.61049625,33.61049625,39.50174686
313854147.3,33.41977664,33.41977664,39.53575107
313914146.1,33.48382541,33.48382541,39.72393008
313974144.9,33.01610538,33.01610538,39.49008151
314034143.6,33.43816348,33.43816348,39.46791049
314094142.4,33.12853977,33.12853977,38.83818027
314154141.2,33.23309299,33.23309299,38.55468723
314214139.9,35.27918979,35.27918979,38.89181491
314274138.7,35.01267978,35.01267978,39.30078861
314334137.4,34.80627414,34.80627414,38.71548435
314394136.2,33.71664401,33.71664401,39.19763919
314454135,33.45667239,33.45667239,39.23817416
314514133.7,33.43318149,33.43318149,38.98734256
314574132.5,33.362663,33.362663,39.51130649
314634131.3,32.85705539,32.85705539,39.47213718
314694130,33.17588779,33.17588779,39.65901157
314754128.8,33.02043887,33.02043887,39.63291141
314814127.5,33.59404727,33.59404727,39.46439334
314874126.3,32.54360935,32.54360935,39.49970218
314934125.1,32.54103061,32.54103061,39.1064603
314994123.8,32.54497501,32.54497501,38.8595502
315054122.6,33.02582523,33.02582523,38.90662357
315114121.4,33.02062961,33.02062961,39.37309238
315174120.1,32.98929569,32.98929569,39.45674106
315234118.9,32.68752261,32.68752261,39.28430911
315294117.6,32.70845767,32.70845767,38.52654239
315354116.4,32.88617679,32.88617679,38.47038242
315414115.2,32.76862308,32.76862308,38.60369083
315474113.9,32.73075839,32.73075839,38.53186008
315534112.7,32.81310245,32.81310245,39.28838321
315594111.5,33.24169132,33.24169132,39.18128177
315654110.2,33.24302646,33.24302646,38.77366611
315714109,32.40425082,32.40425082,38.60385104
315774107.8,32.99484226,32.99484226,38.91352817
315834106.5,32.53757449,32.53757449,38.92793247
315894105.3,33.08245059,33.08245059,39.35390445
315954104,32.89433261,32.89433261,39.37614414
316014102.8,32.54158756,32.54158756,38.98551151
316074101.6,32.42142459,32.42142459,39.63359805
316134100.3,32.54426547,32.54426547,39.5068967
316194099.1,33.21717044,33.21717044,39.67285892
316254097.9,32.45290347,32.45290347,39.12155124
316314096.6,32.50559207,32.50559207,39.09062167
316374095.4,32.64320346,32.64320346,38.69646426
316434094.1,33.02253696,33.02253696,38.70604678
316494092.9,32.82044193,32.82044193,38.4516904
316554091.7,32.77906009,32.77906009,38.35020419
316614090.4,32.66581699,32.66581699,38.36892673
316674089.2,32.68584415,32.68584415,38.702522
316734088,32.53079196,32.53079196,38.15028354
316794086.7,32.51292392,32.51292392,38.12196323
316854085.5,32.24550601,32.24550601,38.68420383
316914084.2,32.72936221,32.72936221,38.79569217
316974083,32.95973941,32.95973941,37.96645328
317034081.8,32.63091251,32.63091251,38.75734683
317094080.5,32.42752811,32.42752811,38.74079105
317154079.3,32.16532871,32.16532871,38.75297519
317214078.1,32.55380222,32.55380222,38.78083774
317274076.8,32.55684634,32.55684634,38.63232394
317334075.6,32.53767368,32.53767368,38.56872531
317394074.3,32.79548618,32.79548618,38.51950046
317454073.1,33.3146207,33.3146207,38.52908298
317514071.9,32.33382388,32.33382388,39.03252383
317574070.6,32.50671359,32.50671359,38.76902744
317634069.4,32.39608737,32.39608737,38.2298505
317694068.2,32.18224307,32.18224307,38.29168674
317754066.9,33.31153079,33.31153079,38.17713901
317814065.7,33.356384,33.356384,38.05344363
317874064.5,33.29016849,33.29016849,38.33477756
317934063.2,32.48838016,32.48838016,38.32083865
317994062,32.21050998,32.21050998,38.91574069
318054060.7,31.74710819,31.74710819,38.40399905
318114059.5,32.04543277,32.04543277,38.60955783
318174058.3,32.15821811,32.15821811,39.31813785
318234057,32.94388553,32.94388553,39.3120267
318294055.8,32.87506839,32.87506839,38.03203555
318354054.6,32.24181339,32.24181339,37.75416538
318414053.3,32.40817233,32.40817233,38.89782687
318474052.1,32.67383548,32.67383548,39.39343997
318534050.8,32.52269717,32.52269717,39.38864108
318594049.6,32.18994876,32.18994876,38.62081119
318654048.4,31.94736453,31.94736453,38.4383237
318714047.1,32.42990848,32.42990848,38.10427066
318774045.9,32.54139682,32.54139682,38.3816907
318834044.7,32.28704044,32.28704044,37.98622867
318894043.4,33.00868198,33.00868198,38.01016971
318954042.2,33.55917331,33.55917331,38.23924991
319014040.9,32.33274814,32.33274814,38.75445529
319074039.7,31.887634,31.887634,38.73267337
319134038.5,32.92546817,32.92546817,38.60767337
319194037.2,33.87576267,33.87576267,37.99793979
319254036,32.3618848,32.3618848,38.45826694
319314034.8,32.38845035,32.38845035,38.44171878
319374033.5,31.83228275,31.83228275,38.0645444
319434032.3,32.79433414,32.79433414,38.59151431
319494031.1,31.96510288,31.96510288,38.12419864
319554029.8,31.75909396,31.75909396,38.81840488
319614028.6,32.12927219,32.12927219,38.5797269
319674027.3,32.52166721,32.52166721,38.27834293
319734026.1,32.42671176,32.42671176,37.54709598
319794024.9,31.80000278,31.80000278,38.8749921
319854023.6,31.95982333,31.95982333,39.05179569
319914022.4,32.72850009,32.72850009,38.8470914
319974021.2,32.75637027,32.75637027,38.82792636
320034019.9,34.06474277,34.06474277,38.62461063
320094018.7,33.79616519,33.79616519,38.51805087
320154017.4,32.45622226,32.45622226,38.01952335
320214016.2,31.78131076,31.78131076,37.69999667
320274015,31.63032504,31.63032504,37.95665714
320334013.7,32.89303561,32.89303561,38.66277286
320394012.5,33.23854038,33.23854038,38.8567197
320454011.3,32.95037051,32.95037051,37.9766843
320514010,32.73667117,32.73667117,38.13535281
320574008.8,32.64318057,32.64318057,37.75833865
320634007.5,31.99962589,31.99962589,38.09077426
320694006.3,32.69920322,32.69920322,38.42713901
320754005.1,32.69455692,32.69455692,38.37676212
320814003.8,32.50830051,32.50830051,37.98145267
320874002.6,32.83420535,32.83420535,38.06172916
320934001.4,33.2868497,33.2868497,38.08451816
320994000.1,33.28481265,33.28481265,38.40389224
321053998.9,32.80458041,32.80458041,37.68194553
321113997.6,32.95671817,32.95671817,37.79488345
321173996.4,33.16242191,33.16242191,37.05072757
321233995.2,32.1517255,32.1517255,37.00295993
321293993.9,32.31431552,32.31431552,37.97169467
321353992.7,32.11760684,32.11760684,38.20091983
321413991.5,32.61075565,32.61075565,37.43062564
321473990.2,32.60610172,32.60610172,38.53785678
321533989,32.27220126,32.27220126,38.57370731
321593987.8,33.33892795,33.33892795,38.691879
321653986.5,33.48844882,33.48844882,37.59886905
321713985.3,32.4072034,32.4072034,37.70005008
321773984,32.52144595,32.52144595,38.18797275
321833982.8,33.50193759,33.50193759,38.02653476
321893981.6,33.49859592,33.49859592,37.63122531
321953980.3,32.65122195,32.65122195,38.2040784
322013979.1,32.34999057,32.34999057,38.23993655
322073977.9,33.68586704,33.68586704,37.80543491
322133976.6,33.31538364,33.31538364,37.39967319
322193975.4,33.33555576,33.33555576,37.44859287
322253974.1,33.25512668,33.25512668,37.2610242
322313972.9,31.88121005,31.88121005,36.92189761
322373971.7,32.53636905,32.53636905,36.79443332
322433970.4,34.21325656,34.21325656,37.06154605
322493969.2,33.27181216,33.27181216,37.97409793
322553968,33.46967288,33.46967288,37.79959842
322613966.7,33.77990695,33.77990695,37.227905
322673965.5,33.33233615,33.33233615,37.4401395
322733964.2,33.49362155,33.49362155,38.16977664
322793963,32.45679446,32.45679446,38.16120883
322853961.8,32.64681979,32.64681979,37.6587598
322913960.5,33.11122104,33.11122104,37.75209781
322973959.3,33.52989932,33.52989932,37.54885837
323033958.1,33.1855466,33.1855466,37.3730466
323093956.8,31.99192783,31.99192783,38.55736514
323153955.6,32.58959934,32.58959934,38.61412021
323213954.4,32.89068576,32.89068576,38.81721469
323273953.1,32.93307468,32.93307468,37.8535535
323333951.9,32.98329898,32.98329898,37.85674258
323393950.6,33.72730228,33.72730228,37.07730838
323453949.4,33.73702976,33.73702976,38.22765323
323513948.2,32.87789127,32.87789127,38.03747531
323573946.9,33.49777957,33.49777957,38.20006534
323633945.7,33.55453464,33.55453464,37.96938297
323693944.5,33.24284335,33.24284335,37.62633487
323753943.2,33.45900699,33.45900699,37.53545352
323813942,33.98481723,33.98481723,37.47200748
323873940.7,34.4113309,34.4113309,36.86111423
323933939.5,33.13018008,33.13018008,38.05065891
323993938.3,33.05628177,33.05628177,38.60521671
324053937,33.00198337,33.00198337,37.90025302
324113935.8,33.0757291,33.0757291,38.11902591
324173934.6,33.21610233,33.21610233,37.97326633
324233933.3,33.5041196,33.5041196,37.29312869
324293932.1,33.42369052,33.42369052,37.63732883
324353930.8,32.88466617,32.88466617,37.26161929
324413929.6,33.47841617,33.47841617,38.22773715
324473928.4,33.77558109,33.77558109,37.51624271
324533927.1,33.04840823,33.04840823,38.64568301
324593925.9,33.06727573,33.06727573,38.79782077
324653924.7,34.2960126,34.2960126,37.42128726
324713923.4,34.10060855,34.10060855,37.53945895
324773922.2,34.14299747,34.14299747,37.33360263
324833921,34.04819461,34.04819461,37.16432163
324893919.7,32.47698947,32.47698947,37.8952634
324953918.5,33.67175266,33.67175266,37.37714359
325013917.2,33.61745425,33.61745425,37.4469678
325073916,33.46525546,33.46525546,37.31305667
325133914.8,32.3541257,32.3541257,37.62214633
325193913.5,32.84744235,32.84744235,37.62289401
325253912.3,33.01150485,33.01150485,38.43109103
325313911.1,33.00963565,33.00963565,37.48065921
325373909.8,32.98293277,32.98293277,37.55064365
325433908.6,32.47281619,32.47281619,37.46515628
325493907.3,32.73618289,32.73618289,37.49333926
325553906.1,32.638931,32.638931,37.14915439
325613904.9,32.84872409,32.84872409,37.941673
325673903.6,32.63649722,32.63649722,38.12271854
325733902.4,34.22731754,34.22731754,38.22275516
325793901.2,34.48937198,34.48937198,38.24963352
325853899.9,32.40747043,32.40747043,37.86624881
325913898.7,32.40821048,32.40821048,37.48286411
325973897.4,33.44374057,33.44374057,37.92652866
326033896.2,32.30517551,32.30517551,38.0500867
326093895,32.908241,32.908241,38.31606265
326153893.7,32.81360599,32.81360599,37.9953992
326213892.5,32.32961246,32.32961246,37.31411716
326273891.3,32.48060581,32.48060581,37.84662601
326333890,32.59502383,32.59502383,37.95059177
326393888.8,32.76170322,32.76170322,37.90037509
326453887.5,32.68666049,32.68666049,37.17728397
326513886.3,32.6887128,32.6887128,37.23290225
326573885.1,33.15197727,33.15197727,37.52239963
326633883.8,32.79080173,32.79080173,36.73006412
326693882.6,32.8764722,32.8764722,37.99032565
326753881.4,33.0914838,33.0914838,38.98535129
326813880.1,33.20198032,33.20198032,38.89724704
326873878.9,33.27458926,33.27458926,37.96772739
326933877.7,32.44044467,32.44044467,37.5921857
326993876.4,32.03223392,32.03223392,37.21924564
327053875.2,33.2794263,33.2794263,38.81790897
327113873.9,33.26710483,33.26710483,38.79643985
327173872.7,33.13458225,33.13458225,37.61083957
327233871.5,33.55995914,33.55995914,38.11329623
327293870.2,33.55677768,33.55677768,38.05524417
327353869,32.90032169,32.90032169,37.4458234
327413867.8,33.03564426,33.03564426,37.76145145
327473866.5,34.15480014,34.15480014,37.72430393
327533865.3,34.20257541,34.20257541,38.30515262
327593864,32.75826999,32.75826999,38.3450925
327653862.8,33.68013736,33.68013736,37.76181003
327713861.6,33.61032077,33.61032077,38.06175205
327773860.3,32.45346042,32.45346042,37.88088962
327833859.1,33.4079816,33.4079816,37.65689822
327893857.9,33.33033725,33.33033725,37.6694028
327953856.6,33.69299289,33.69299289,38.29075595
328013855.4,33.78520175,33.78520175,38.24446841
328073854.1,33.75588962,33.75588962,37.85062381
328133852.9,33.71612521,33.71612521,38.14795657
328193851.7,33.42420169,33.42420169,37.81814548
328253850.4,32.77558872,32.77558872,37.39034244
328313849.2,33.2127225,33.2127225,37.90325137
328373848,33.52572604,33.52572604,37.88047
328433846.7,33.77602359,33.77602359,37.86946079
328493845.5,33.76109287,33.76109287,38.61363193
328553844.3,32.85508701,32.85508701,38.08130618
328613843,34.0787656,34.0787656,38.16567203
328673841.8,34.11347934,34.11347934,37.90248081
328733840.5,33.36295291,33.36295291,38.06523868
328793839.3,33.47867557,33.47867557,37.71060153
328853838.1,33.09006473,33.09006473,38.01316043
328913836.8,32.98366519,32.98366519,37.63238498
328973835.6,33.12159702,33.12159702,37.69453403
329033834.4,33.12104007,33.12104007,37.93699619
329093833.1,32.96760532,32.96760532,37.9664838
329153831.9,32.94091769,32.94091769,37.65626498
329213830.6,33.41200992,33.41200992,37.93007633
329273829.4,34.06342288,34.06342288,37.81976291
329333828.2,34.08245822,34.08245822,37.24693271
329393826.9,32.63423129,32.63423129,38.00678226
329453825.7,33.74554416,33.74554416,37.4065015
329513824.5,33.86126682,33.86126682,37.81619998
329573823.2,34.23176547,34.23176547,38.10177585
329633822,33.1559064,33.1559064,37.90653964
329693820.7,33.05866214,33.05866214,38.14246341
329753819.5,32.73929569,32.73929569,38.15756961
329813818.3,32.96476718,32.96476718,38.47450229
329873817,32.88581058,32.88581058,37.41171237
329933815.8,32.86173221,32.86173221,37.8932645
329993814.6,33.63464328,33.63464328,37.63922855
330053813.3,33.96594211,33.96594211,37.34338352
330113812.1,33.92879459,33.92879459,37.67860385
330173810.8,34.22090122,34.22090122,37.67935153
330233809.6,33.30705997,33.30705997,38.65870639
330293808.4,34.18711063,34.18711063,37.48484775
330353807.1,33.5633237,33.5633237,37.74429294
330413805.9,33.50135013,33.50135013,38.00112125
330473804.7,32.15373203,32.15373203,37.0598447
330533803.4,33.05860873,33.05860873,38.11104556
330593802.2,33.56629154,33.56629154,38.10003635
330653801,33.20773288,33.20773288,37.75976535
330713799.7,33.5063779,33.5063779,37.96694919
330773798.5,33.32681247,33.32681247,38.10618564
330833797.2,33.26614352,33.26614352,37.99848148
330893796,32.36275455,32.36275455,38.08154269
330953794.8,32.87958499,32.87958499,38.10841342
331013793.5,33.05149051,33.05149051,38.2711713
331073792.3,33.4768674,33.4768674,38.30458041
331133791.1,33.50765201,33.50765201,37.93033572
331193789.8,33.97483798,33.97483798,37.74294254
331253788.6,34.14151737,34.14151737,37.72800418
331313787.3,33.91883823,33.91883823,37.48311588
331373786.1,33.87645694,33.87645694,37.13108798
331433784.9,34.00394412,34.00394412,36.92539188
331493783.6,33.35140964,33.35140964,37.77278873
331553782.4,32.77073642,32.77073642,37.55010959
331613781.2,33.65340396,33.65340396,37.89317294
331673779.9,34.28390476,34.28390476,37.85079166
331733778.7,34.7510831,34.7510831,38.16380283
331793777.4,32.95140048,32.95140048,38.34223911
331853776.2,33.35978671,33.35978671,37.3487012
331913775,33.04172488,33.04172488,37.51667758
331973773.7,33.44489261,33.44489261,37.15811893
332033772.5,33.85850498,33.85850498,38.87698337
332093771.3,34.17151614,34.17151614,37.91741153
332153770,33.38571903,33.38571903,37.12245914
332213768.8,33.34072849,33.34072849,36.68289157
332273767.6,33.00568362,33.00568362,38.16265079
332333766.3,33.74463626,33.74463626,38.1686246
332393765.1,33.81985446,33.81985446,37.33317539
332453763.8,34.33145114,34.33145114,37.88397189
332513762.6,33.72726413,33.72726413,38.23356601
332573761.4,32.98718997,32.98718997,38.24867984
332633760.1,33.23879215,33.23879215,36.83834811
332693758.9,33.40286227,33.40286227,37.84905978
332753757.7,33.80471011,33.80471011,37.86286136
332813756.4,34.32284518,34.32284518,37.40239688
332873755.2,34.29093143,34.29093143,37.63309451
332933753.9,33.30653354,33.30653354,37.84027072
332993752.7,32.51811191,32.51811191,37.46864291
333053751.5,33.11464664,33.11464664,37.61049625
333113750.2,33.6667554,33.6667554,37.13565799
333173749,33.33955356,33.33955356,37.22001621
333233747.8,33.26059695,33.26059695,37.50298282
333293746.5,33.43119022,33.43119022,37.50371524
333353745.3,32.90930911,32.90930911,37.26797458
333413744,32.96231815,32.96231815,37.92330142
333473742.8,33.61634036,33.61634036,37.69148227
333533741.6,32.59665653,32.59665653,37.21141025
333593740.3,33.35128757,33.35128757,37.31275913
333653739.1,33.22006961,33.22006961,37.10575839
333713737.9,33.70554324,33.70554324,36.57735416
333773736.6,32.66757938,32.66757938,37.02362796
333833735.4,32.79112979,32.79112979,37.15241214
333893734.1,32.71740695,32.71740695,36.85526248
333953732.9,33.01081821,33.01081821,36.66394016
334013731.7,34.15348789,34.15348789,37.24349185
334073730.4,33.37944766,33.37944766,37.06784793
334133729.2,33.17113467,33.17113467,37.06989261
334193728,33.18756076,33.18756076,37.4064252
334253726.7,33.31634494,33.31634494,37.23731204
334313725.5,32.15425845,32.15425845,37.77113315
334373724.3,32.5600278,32.5600278,37.77709934
334433723,32.04729434,32.04729434,37.44728824
334493721.8,32.31849643,32.31849643,36.6928403
334553720.5,32.96598789,32.96598789,37.38083621
334613719.3,32.8569791,32.8569791,37.3868024
334673718.1,32.81851932,32.81851932,37.4241254
334733716.8,32.9577634,32.9577634,37.17008945
334793715.6,32.49206516,32.49206516,37.16038486
334853714.4,33.06116458,33.06116458,36.88675662
334913713.1,34.01960727,34.01960727,37.6531293
334973711.9,33.69763156,33.69763156,37.65518161
335033710.6,32.82952091,32.82952091,36.86415836
335093709.4,32.84986087,32.84986087,37.12490054
335153708.2,32.50044986,32.50044986,37.6835477
335213706.9,33.39878818,33.39878818,36.61552402
335273705.7,32.96314212,32.96314212,37.52824374
335333704.5,31.91080447,31.91080447,36.73982974
335393703.2,32.02783176,32.02783176,36.57202884
335453702,32.43621799,32.43621799,37.32534
335513700.7,32.45655795,32.45655795,37.06608554
335573699.5,31.6772916,31.6772916,37.05114719
335633698.3,31.74597904,31.74597904,37.32757541
335693697,31.59908267,31.59908267,37.17545291
335753695.8,32.40857669,32.40857669,36.80773898
335813694.6,32.3988721,32.3988721,36.73139926
335873693.3,31.84432956,31.84432956,36.56621524
335933692.1,32.65252658,32.65252658,36.45982333
335993690.9,32.58270999,32.58270999,36.85905429
336053689.6,32.60174533,32.60174533,36.76573154
336113688.4,32.70701572,32.70701572,37.25382205
336173687.1,32.48303195,32.48303195,37.08340427
336233685.9,31.90496799,31.90496799,37.02927371
336293684.7,32.83597537,32.83597537,37.53173038
